,Author,Text,Time,Like Count,Currency ISO Code,Url,target
22,digizmoo,@TransferWise You’re welcome. One more thing. Only bank transfer method is available for depositing Turkish Lira TRY now. It would be awesome if you can provide debit/credit cards and Papara (A local e-wallet service) options to top up TRY balance.,2021-01-16 13:17:08+00:00,0,TRY,https://twitter.com/digizmoo/status/1350431894295482368,0.0
23,aronlund,"Regarding the introduction of the Turkish lira in the northwest, @REACH_info polling indicates that 28% of traders only accept TRY while 10% only accept SYP. In other words, while TRY increasingly appears to dominate, 72% still trade in SYP to some degree. https://t.co/vsu87ppFXN https://t.co/eGoZHpBtCz",2021-01-15 14:47:37+00:00,4,TRY,https://twitter.com/aronlund/status/1350092279877406722,1.0
24,miha_x64,TIL: ISO code for Turkish lira is TRY.,2021-01-14 20:16:55+00:00,0,TRY,https://twitter.com/miha_x64/status/1349812762894069760,-1.0
25,MacroLukas,"Turkish Lira #TRY at a key support right now. Very interesting setup, even for both directions #long or #short.
Definetly a great pair to watch if you want to play the #USD vs #EmergingMarkets trade. https://t.co/0Y0EScKi1F",2021-01-13 13:10:54+00:00,0,TRY,https://twitter.com/MacroLukas/status/1349343162838495234,-1.0
26,OptionsMarvin,Should I start going long the Turkish Lira ? Asking for a friend. #TRY @DiMartinoBooth,2021-01-13 00:55:05+00:00,0,TRY,https://twitter.com/OptionsMarvin/status/1349157989115191297,-1.0
27,ChingKerrr,@RobsonEvans2 @MrMillionsFX TRY = Turkish lira I think,2021-01-11 13:33:20+00:00,1,TRY,https://twitter.com/ChingKerrr/status/1348624034347560960,1.0
28,tolmandes,"@TeamYouTube Tell me my problem.  I live in KKTC. When I try to buy premium, it shows as euro. It should be seen as Turkish lira.",2021-01-11 05:42:40+00:00,0,TRY,https://twitter.com/tolmandes/status/1348505586770587654,1.0
29,patrickrooney,FYI #gold futures based in both TRY and USD are available at @borsaistanbul on the TT platform from @Trading_Tech. @BorsaIstanbulEN #turkishlira https://t.co/Sa43WAvN3E https://t.co/HL2h2p47K4,2021-01-10 22:49:17+00:00,3,TRY,https://twitter.com/patrickrooney/status/1348401553661714433,0.0
30,trendwhizo,"#BTCTRY ... #Bitcoin strength vs #Turkey's currency #Turkish #Lira 👇

From 1182 to 282K+ or &gt; 230x in 5 years!

 #btcturk #BTC #news #thursdaymorning #crypto #trading #investing #news #hope #democracy #currency #Democratic #crivelli #amerika #dolar #TRY https://t.co/9AieVdzYYX",2021-01-07 13:39:06+00:00,0,TRY,https://twitter.com/trendwhizo/status/1347175935200653312,-1.0
31,CIMBank_News,"Turkish Lira #TRY keeps recovering against #USD, today + 1% at 7.3",2021-01-06 17:26:40+00:00,1,TRY,https://twitter.com/CIMBank_News/status/1346870815988580352,-1.0
32,lovecarindustry,"Turkey has probably the most expensive cars on earth. A locally built #ToyotaCorollaHybrid sedan is worth TRY 441,700, or €48,900. This is a lot of money for a compact sedan! Speculation, black car market, devaluation of Turkish lira, explain this absurd reality https://t.co/LFsAYDBqwA",2021-01-05 11:54:41+00:00,2054,TRY,https://twitter.com/lovecarindustry/status/1346424878669430792,1.0
33,TGC_Macro,"Turkey🇹🇷 released inflation data today:

Turkish CPI grew 1.25% MoM, 14% YoY.

The Turkish Lira is trading at an all time low against the dollar.

$TRY",2021-01-05 00:27:13+00:00,1,TRY,https://twitter.com/TGC_Macro/status/1346251872139702272,1.0
34,silver_bug_28,Interesting to see that the 5th biggest market is the btc/try (turkish lira) ... they are fleeing out of their currency due to massive inflation... this will not be cool when Bitcoin crashes for 50% down from 40k to 20k many people there will sell on the way down. https://t.co/1yWIUWZ38k,2021-01-03 08:59:21+00:00,2,TRY,https://twitter.com/silver_bug_28/status/1345655979556433921,0.0
35,michaeltanchum,"🇹🇷💸 2021: Turkish Lira holding on 1 January 2021 at the same about value as 1 September 2021 | A dramatic recovery in value seems unlikely without further changes

1 USD = 7.4257 TRY [1 January 2021 internatl trading]",2021-01-01 12:31:34+00:00,41,TRY,https://twitter.com/michaeltanchum/status/1344984611718385675,0.0
36,IdeasPrime,"EUR/JPY | $EURJPY | $EUR $JPY

EURO JPY Sell opportunity

Long or short it with BTC on Trade8: https://t.co/qrnSfdvKJS https://t.co/RWl8tZbT5D",2021-01-31 21:12:01+00:00,0,EUR,https://twitter.com/IdeasPrime/status/1355987220814032900,0.0
37,giulian08038152,"@GlobalcryptoE Open account and get your 40 EUR bonus
 https://t.co/zHcaUh61cg
 40 euros free + 40 each refer
 With electronic document or passport
 Install app upload documents
 Telephone number for verification
 Important to receive the 40 euro bonus enter the promo code AAKGOS",2021-01-31 21:01:46+00:00,0,EUR,https://twitter.com/giulian08038152/status/1355984641484877826,0.0
38,bluewolfpack1,If you are trading the #silversqueeze it’s worth keeping an eye on #EUR and the #USD. If there is a sharp move lower in euro - and higher USD - that’s a sign the banks are fighting back .Keep in mind short USD is extreme. Rocket fuel needs short USD - otherwise no moon landing .,2021-01-31 20:49:18+00:00,16,EUR,https://twitter.com/bluewolfpack1/status/1355981507135823873,0.0
39,TheSeekerFX,"EUR to SGD Forecast: down to 1.610? Euro to Singapore Dollar Analysis, Converter, Live Exchange Rates and Prediction, Long-Term  https://t.co/BPnpLc9JPl",2021-01-31 19:47:25+00:00,0,EUR,https://twitter.com/TheSeekerFX/status/1355965930996719618,0.0
40,Spencertrader,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/vqw2zw2QFG https://t.co/4BIcSpnaI2,2021-01-31 15:57:03+00:00,0,EUR,https://twitter.com/Spencertrader/status/1355907956768792577,0.0
41,cauponium,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/neJJtB31JW https://t.co/QKEA7kPB68,2021-01-31 13:32:33+00:00,0,EUR,https://twitter.com/cauponium/status/1355871595214987269,0.0
42,sofiaelpidagapi,"For a start she can use an anti freeze, I will be less distracted by her hair and pay more attention to what she says. I agree. Raising interest rates in Euro zone right now will strengthen t EUR even more with devastating effects to a  service oriented economy except Germany. https://t.co/hkjgz5MuAE",2021-01-31 13:15:03+00:00,0,EUR,https://twitter.com/sofiaelpidagapi/status/1355867190076059648,0.0
43,nonsellcom,"Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut - Fundamental Euro Forecast: NeutralAccording to reports, the European Central Bank is disappointed that the markets priced in only a... - https://t.co/yCDOebA7el https://t.co/8XwhSUwO40",2021-01-31 11:50:01+00:00,0,EUR,https://twitter.com/nonsellcom/status/1355845790292295685,0.0
44,forextrader755,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut: Nobody is seriously expecting the ECB to cut Eurozone interest rates any time soon. It appears keen to persuade the markets that a reduction is possible but there’s little chance EUR/USD will react.,2021-01-31 11:08:02+00:00,1,EUR,https://twitter.com/forextrader755/status/1355835224802746373,0.0
45,CurrencyBuzzer,Latest rate of US Dollar to Euro ( USD to EUR ) USD/EUR is 0.82 . #Euro #EUR #USDTOEUR #forex #currency . check updates on this url https://t.co/SK5kZrSjro,2021-01-31 11:00:06+00:00,2,EUR,https://twitter.com/CurrencyBuzzer/status/1355833229077606400,0.0
46,089flo,"@Cantill03506196 @Breadmobile @KlausJespersen @SenSanders When I look at Germany it says 45%. This is the maximum marginal income tax rate, for every Euro you earn above 271k EUR.
If you earn 275k EUR then your average income tax is approx. 39% https://t.co/zKAKwbCuOL",2021-01-31 10:53:27+00:00,0,EUR,https://twitter.com/089flo/status/1355831556598857728,0.0
47,broker_we,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/IKnpWuksNm,2021-01-31 10:30:02+00:00,1,EUR,https://twitter.com/broker_we/status/1355825661835943937,0.0
48,cryptosEUR,"🔄 Prices update in $EUR (1 hour):

$BTC   - 27838.7 €  (+0.62 %)
$ETH   - 1116.29 €  (+0.68 %)
$XRP   - 0.37 €    (+5.19 %)
$BCH   - 333.84 €  (+0.96 %)
$LTC   - 108.53 €  (+0.7 %) 

#EUR #Euro #BTC #ETH #XRP #BCH #LTC #Trading #Bitcoin #Ethereum",2021-01-31 09:07:31+00:00,0,EUR,https://twitter.com/cryptosEUR/status/1355804896826695681,0.0
49,mmonlineonline,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/DY2HjYdq4B https://t.co/E3MGizkPin,2021-01-31 08:43:03+00:00,1,EUR,https://twitter.com/mmonlineonline/status/1355798739865067525,0.0
50,beakster99,"@ClennellPeter @KieranMaguire To be fair, he only earns 92% of the full EUR 555m as they slipped up in the Champs League. Also the euro has appreciated against the argentine peso fivefold since November 2017 so that’s a nice FX bonus!",2021-01-31 08:38:09+00:00,5,EUR,https://twitter.com/beakster99/status/1355797503984205829,0.0
51,pami3y_evilcode,"PamyBot:~$#forex #fxDailyFX ""The Euro is testing a multitude of pivotal support levels against its major counterparts, which could determine its longer-term trajectory. EUR/USD, EUR/JPY and EUR/GBP levels to watch. Get your $EUR market update from @D… https://t.co/tjcQ9S5zHq""",2021-01-31 08:32:20+00:00,2,EUR,https://twitter.com/pami3y_evilcode/status/1355796042374127616,0.0
52,exchangeratesuk,GBP/EUR Forecast: Pound to Euro Exchange Rate Uptrend Limited Ahead of This Week's BoE https://t.co/AaP1b7UMcw,2021-01-31 07:41:22+00:00,0,EUR,https://twitter.com/exchangeratesuk/status/1355783213935898628,0.0
53,cryptosEUR,"🔄 Prices update in $EUR (1 hour):

$EOS   - 2.37 €    (-0.59 %)
$IOT    - 0.34 €    (0.0 %)  
$ETC    - 6.14 €    (-0.86 %)
$NEO   - 18.51 €   (0.0 %)  
$DASH  - 85.27 €   (-1.05 %)

#EUR #Euro #EOS #IOT #ETC #NEO #DASH #Trading #Altcoins",2021-01-31 07:07:08+00:00,0,EUR,https://twitter.com/cryptosEUR/status/1355774600269983746,0.0
54,Mirko_C74,"【Stock】﹝January 30, 2021 at 06:49AM﹞EUR to CNY is 7.8011 #euro #yuan #rate",2021-01-31 05:49:01+00:00,0,EUR,https://twitter.com/Mirko_C74/status/1355754943630684160,0.0
55,ForexTweets,"What is the value of EUR (Euro) / USD (US Dollar) on Saturday January 30, 2021 https://t.co/X3XEKX9xED",2021-01-31 05:45:02+00:00,1,EUR,https://twitter.com/ForexTweets/status/1355753940327886854,0.0
56,learnfxtradecom,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut: Nobody is seriously expecting the ECB to cut Eurozone interest rates any time soon. It appears keen to persuade the markets that a reduction is possible but there’s little chance… https://t.co/DfrPy1H2tY https://t.co/PR2OyPQeLd,2021-01-31 05:41:32+00:00,2,EUR,https://twitter.com/learnfxtradecom/status/1355753059603738628,0.0
57,Signaltradeh,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/uYXrUSiaIf,2021-01-31 04:01:33+00:00,1,EUR,https://twitter.com/Signaltradeh/status/1355727896782860292,0.0
58,Forexguruking,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut: Nobody is seriously expecting the ECB to cut Eurozone interest rates any time soon. It appears keen to persuade the markets that a reduction is possible but there’s little chance… https://t.co/zjim124GxM,2021-01-31 03:48:32+00:00,1,EUR,https://twitter.com/Forexguruking/status/1355724620893020161,0.0
59,DailyFX_Arabic,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/Ng3TUS2vLO https://t.co/k86byTl5cA,2021-01-31 03:37:03+00:00,1,EUR,https://twitter.com/DailyFX_Arabic/status/1355721733366444032,0.0
60,_TradeForEx,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/795QrLL9Sb https://t.co/becP4QI4AF,2021-01-31 03:29:03+00:00,1,EUR,https://twitter.com/_TradeForEx/status/1355719716183044097,0.0
61,forex8signal,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut: Nobody is seriously expecting the ECB to cut Eurozone interest rates any time soon. It appears keen to persuade the markets that a reduction is possible but there’s little chance… https://t.co/U2DCTLZSAE,2021-01-31 03:11:02+00:00,1,EUR,https://twitter.com/forex8signal/status/1355715184677928963,0.0
62,Niranjan2017Das,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/my4Yv9Hiz9 https://t.co/66oyfHj3zh,2021-01-31 01:55:33+00:00,1,EUR,https://twitter.com/Niranjan2017Das/status/1355696187488182274,0.0
63,HichFX,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut | #Forex,2021-01-31 01:50:15+00:00,1,EUR,https://twitter.com/HichFX/status/1355694854291017728,0.0
64,eBargainsToday,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut: Nobody is seriously expecting the ECB to cut Eurozone interest rates any time soon. It… https://t.co/eU7xkwSuAc  | https://t.co/FHLhKCQA7o  | https://t.co/FHLhKCQA7o #cryptocurrency #Bitcoin #Forex,2021-01-31 01:49:32+00:00,7,EUR,https://twitter.com/eBargainsToday/status/1355694672438415361,0.0
65,JasrayMaz,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/fAxKbekqOT https://t.co/2eqY8253CY,2021-01-31 01:40:33+00:00,1,EUR,https://twitter.com/JasrayMaz/status/1355692412388032518,0.0
66,AmandaFx247,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/AV0lC4scoD,2021-01-31 01:36:26+00:00,1,EUR,https://twitter.com/AmandaFx247/status/1355691377028435968,0.0
67,sueyangfx,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut #money #currency #fx #markets #EURnews https://t.co/e2nZVNYpHo,2021-01-31 01:06:37+00:00,1,EUR,https://twitter.com/sueyangfx/status/1355683874681081857,0.0
68,BlackCentaurFX,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/WgD14w7YCN via DailyFX #forex #fx,2021-01-31 01:06:18+00:00,0,EUR,https://twitter.com/BlackCentaurFX/status/1355683793789726721,0.0
69,ICEH_Invest,"""Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut"" https://t.co/gEQp6omvQg https://t.co/7W7AcPl5cc",2021-01-31 01:03:13+00:00,1,EUR,https://twitter.com/ICEH_Invest/status/1355683017512120323,0.0
70,trdngsgnlslive,Euro Forecast: EUR/USD to Shrug Off Any Hints of an ECB Interest Rate Cut https://t.co/cCEekHUE5p,2021-01-31 01:02:15+00:00,0,EUR,https://twitter.com/trdngsgnlslive/status/1355682773609144323,0.0
71,CurrencyBuzzer,Latest rate of US Dollar to Euro ( USD to EUR ) USD/EUR is 0.82 . #Euro #EUR #USDTOEUR #forex #currency . check updates on this url https://t.co/SK5kZrSjro,2021-01-30 23:00:06+00:00,4,EUR,https://twitter.com/CurrencyBuzzer/status/1355652034939256835,0.0
72,trader_blitz,"EUR/NZD | $EURNZD | $EUR $NZD

EUR NZD BUY (EURO - NEW ZEALAND DOLLAR)

Long or short it with BTC on Trade8: https://t.co/82S70pYMsa https://t.co/3zPY4ecIPw",2021-01-30 19:36:01+00:00,0,EUR,https://twitter.com/trader_blitz/status/1355600673417687047,0.0
73,4xForecaster,"#CROWSignalService - $EURUSD:

- Forecast remains intact following an exact reversal at CROW Reversal Target = 1.23337.
- https://t.co/EjjyRxdnvs update includes imminent reversal target and intermediate predictive price pathway. 

$EUR $USD #Euro #USDollar $DXY https://t.co/s1mX1yvo6e",2021-01-30 18:29:15+00:00,3,EUR,https://twitter.com/4xForecaster/status/1355583871715184641,0.0
74,cryptosEUR,"🔄 Prices update in $EUR (1 hour):

$EOS   - 2.38 €    (+3.38 %)
$IOT    - 0.34 €    (+2.17 %)
$ETC    - 6.3 €     (+1.24 %)
$NEO   - 18.6 €    (0.0 %)  
$DASH  - 86.22 €   (+0.65 %)

#EUR #Euro #EOS #IOT #ETC #NEO #DASH #Trading #Altcoins",2021-01-30 15:04:18+00:00,0,EUR,https://twitter.com/cryptosEUR/status/1355532296221323265,0.0
75,RobinBrooksIIF,"The ongoing @ECB fixation on a deposit cut is puzzling &amp; a disconnect from markets. This week showed - as did the Sep. 4, 2014 surprise depo cut - that a 10 bps cut is worth at most one big figure in EUR/$ (this week it was less). This just isn't the way to counter Euro strength. https://t.co/i664ZeNsap",2021-01-30 13:17:09+00:00,18,EUR,https://twitter.com/RobinBrooksIIF/status/1355505328746614784,0.0
76,CurrencyBuzzer,Latest rate of US Dollar to Euro ( USD to EUR ) USD/EUR is 0.82 . #Euro #EUR #USDTOEUR #forex #currency . check updates on this url https://t.co/SK5kZrSjro,2021-01-30 11:00:05+00:00,1,EUR,https://twitter.com/CurrencyBuzzer/status/1355470835633565697,0.0
77,tEconomics,#Euro Disposable Personal Income at 1844286 EUR Million https://t.co/zykw4xl4Yv https://t.co/VJChrZByBU,2021-01-30 10:16:41+00:00,0,EUR,https://twitter.com/tEconomics/status/1355459913582055424,0.0
78,tEconomics,#Euro Money Supply M2 at 13743661 EUR Million https://t.co/IzNNxuJHgm https://t.co/lYk2Zs0Ept,2021-01-30 10:16:41+00:00,0,EUR,https://twitter.com/tEconomics/status/1355459913401688064,0.0
79,tEconomics,#Euro Money Supply M1 at 10254290 EUR Million https://t.co/5PoiSoCSWa https://t.co/7JVkzOUySu,2021-01-30 10:16:40+00:00,0,EUR,https://twitter.com/tEconomics/status/1355459911396823040,0.0
80,Mirko_C74,"【Stock】﹝January 29, 2021 at 06:49AM﹞EUR to CNY is 7.8011 #euro #yuan #rate",2021-01-30 05:49:03+00:00,0,EUR,https://twitter.com/Mirko_C74/status/1355392560567635968,0.0
81,nonsellcom,"EUR/USD Mid-Session Technical Analysis for January 29, 2021 - The Euro is trading higher against the U.S. Dollar on Friday as market participants saw a European Central Bank rate cut as less likely... - https://t.co/GDuGKxtBqM https://t.co/E8dnVd051T",2021-01-30 04:49:25+00:00,1,EUR,https://twitter.com/nonsellcom/status/1355377553402302467,0.0
82,MajorFXNow,"EUR/USD Daily Forecast – Euro Remains Under Pressure: If the U.S. Dollar Index manages to settle above this level, it will gain additional upside momentum which will be bearish for EUR/USD. Today, foreign ...",2021-01-30 04:28:32+00:00,0,EUR,https://twitter.com/MajorFXNow/status/1355372299600318467,0.0
83,ForexBonus30Usd,"EUR/USD: what to expect from euro next week 
Forex No Doposit Bonus ?https://t.co/9Nnk8GKZC4 ?
#forex #forextrader #forexsignals #forextrade #forexmoney #forexstrategy #forexlife #forexmentor #forexmillionaire #forextraining #forexpr... https://t.co/l65lfXmTRf",2021-01-30 03:35:03+00:00,0,EUR,https://twitter.com/ForexBonus30Usd/status/1355358839252652032,0.0
84,ForexBonus30Usd,"EUR/USD: plan for the US session on January 29 (analysis of morning trades). Good data on the EU countries kept the euro 
Forex No Doposit Bonus ?https://t.co/9Nnk8GKZC4 ?
#forex #forextrader #forexsignals #forextrade #forexmoney #fo... https://t.co/xChOXbm918",2021-01-30 00:35:20+00:00,0,EUR,https://twitter.com/ForexBonus30Usd/status/1355313612903112706,0.0
85,DailyFX,"The Euro is testing a multitude of pivotal support levels against its major counterparts, which could determine its longer-term trajectory. EUR/USD, EUR/JPY and EUR/GBP levels to watch. Get your $EUR market update from @DanielGMoss here:https://t.co/qv0jjAT8SO https://t.co/dXNbOlK2BW",2021-01-30 00:19:01+00:00,7,EUR,https://twitter.com/DailyFX/status/1355309506851446789,0.0
86,elisa_freschi,"@DrMGarnett It depends on who you are talking with. Often, ""European"" is what one is in in fact looking for. At other times, ""Euro-American"" with a nice fn explaining that you mean by it European phil + phil composed in settings deeply influenced by the Eur. school system, such as N Zealand",2021-01-29 23:01:58+00:00,1,EUR,https://twitter.com/elisa_freschi/status/1355290115782946816,-1.0
87,educarteconomic,"Euro Forecast: EUR/USD Upside Capped, Germany Avoids Q4 Contraction https://t.co/DNJ2CCIAgw",2021-01-29 20:59:42+00:00,0,EUR,https://twitter.com/educarteconomic/status/1355259346733686787,-1.0
88,FirmLux,"On Friday, the Pound to Euro exchange rate stumbled unexpectedly as German GDP growth supported the Euro, and GBP/EUR tr...   -  For the full articale visit our website: https://t.co/ndoPQptmCu https://t.co/bbkm6FYOKX",2021-01-29 19:00:06+00:00,0,EUR,https://twitter.com/FirmLux/status/1355229249335160835,-1.0
89,slapdash__,"It's a loose relationship (seen above &amp; here w/ Euro GDP- US GDP vs. EUR/USD), but changes in relative growth btwn countries is associated with FX movement. (as an aside, I don't find that changes in CB policy are independently associated with FX movement, e.g. 2017) https://t.co/pGTCeJ4mwc",2021-01-29 19:00:00+00:00,2,EUR,https://twitter.com/slapdash__/status/1355229222382534660,-1.0
90,Forexguruking,"Euro Forecast: EUR/USD Upside Capped, Germany Avoids Q4 Contraction: German GDP beats analyst estimates, while ECB steps up Euro jawboning. https://t.co/YoZ9htYNES",2021-01-29 15:49:32+00:00,0,EUR,https://twitter.com/Forexguruking/status/1355181292812288005,-1.0
91,FrontierView,"The return of Italian political uncertainty coincided with announcements of a generous United States fiscal stimulus, driving depreciation pressures to the euro. Firms should factor in some gradual normalization of the EUR:USD rate in 2021. @AKokkinogeni  https://t.co/7Ee1do4FhA",2021-01-29 14:45:09+00:00,0,EUR,https://twitter.com/FrontierView/status/1355165088907485186,-1.0
92,educarteconomic,"Euro Forecast: EUR/USD Upside Capped, Germany Avoids Q4 Contraction https://t.co/wbfGErX1Nd",2021-01-29 14:30:30+00:00,0,EUR,https://twitter.com/educarteconomic/status/1355161401975840770,-1.0
93,CornhillFX,"🚨 Forex News | GBP/EUR Exchange Rate Struggles as German GDP Impresses, reports @futurecurrencyf: https://t.co/ln8oCMwtn5

Read more FX news: https://t.co/hleL9XwEuc       

#forex #exchange #markets #euro #pound #forextrading #forexsignals #germany",2021-01-29 14:23:37+00:00,0,EUR,https://twitter.com/CornhillFX/status/1355159670051241996,-1.0
94,jrloom,"@someguynamedg @JamesSurowiecki It's similar to what happened with EUR/CHF in 2015 when the SNB (unexpectedly) unpegged their currency from the Euro. Several brokers went under, among other things.

https://t.co/9FHMkN19Oh",2021-01-29 13:37:33+00:00,0,EUR,https://twitter.com/jrloom/status/1355148075715747844,-1.0
